|details|name|viable|germ_code|mod1|mod2|mod3|mod4|special_info
141|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum barbatum|!||||||*
142|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum barbatum|!||||||*
143|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C|Aconitum Bressingham Spire\'|!||||||*
144|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 4C for 3 weeks, then place at 20C.     * seed very poisonous, wash hands after handling; longer viability than other aconitum seed, 20C x 4 weeks, -7C x 6 weeks, 10C for germination|Aconitum carmichaelii|!|J|||||*
145|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 4C for 3 weeks, then place at 20C.     * seed very poisonous, wash hands after handling; longer viability than other aconitum seed, 20C x 4 weeks, -7C x 6 weeks, 10C for germination|Aconitum carmichaelii \'Arendsii\' (Arendsii Group)|!|J|||||*
146|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C|Aconitum columbianum|!||||||*
147|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.    Germination is improved by using GA3.    * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C ; good germination with GA3 if stored longer than|Aconitum cymbulatum|!||4||||*
148|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum czekanovskyi|!||||||*
149|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum excelsum|!||||||*
150|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Use repeated cycles of 20C, then 4C for 3 months each. Germination is very prolonged.     * seed very poisonous, wash hands after handling|Aconitum ferox|!|D|||||*
