"varname","tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"UNKNOWN","334","MODE OF ISSUANCE","MODE OF ISSUANCE","1","0","0","","","","SPF"
"UNKNOWN","335","EXTENSION PLAN","EXTENSION PLAN","1","0","0","","","","SPF"
"UNKNOWN","336","CONTENT TYPE","CONTENT TYPE","1","0","0","","","","SPF"
"UNKNOWN","337","MEDIA TYPE","MEDIA TYPE","1","0","0","","","","SPF"
"UNKNOWN","338","CARRIER TYPE","CARRIER TYPE","1","0","0","","","","SPF"
"UNKNOWN","340","PHYSICAL MEDIUM","PHYSICAL MEDIUM","1","0","0","","","","SPF"
"UNKNOWN","341","ACCESSIBILITY CONTENT","ACCESSIBILITY CONTENT","1","0","0","","","","SPF"
"UNKNOWN","342","GEOSPATIAL REFERENCE DATA","GEOSPATIAL REFERENCE DATA","1","0","0","","","","SPF"
"UNKNOWN","343","PLANAR COORDINATE DATA","PLANAR COORDINATE DATA","1","0","0","","","","SPF"
"UNKNOWN","344","SOUND CHARACTERISTICS","SOUND CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","345","MOVING IMAGE CHARACTERISTICS","MOVING IMAGE CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","346","VIDEO CHARACTERISTICS","VIDEO CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","347","DIGITAL FILE CHARACTERISTICS","DIGITAL FILE CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","348","NOTATED MUSIC CHARACTERISTICS","NOTATED MUSIC CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","350","PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]","PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","351","ORGANIZATION AND ARRANGEMENT OF MATERIALS","ORGANIZATION AND ARRANGEMENT OF MATERIALS","1","0","0","","","","SPF"
"UNKNOWN","352","DIGITAL GRAPHIC REPRESENTATION","DIGITAL GRAPHIC REPRESENTATION","1","0","0","","","","SPF"
"UNKNOWN","353","SUPPLEMENTARY CONTENT CHARACTERISTICS","SUPPLEMENTARY CONTENT CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","355","SECURITY CLASSIFICATION CONTROL","SECURITY CLASSIFICATION CONTROL","1","0","0","","","","SPF"
"UNKNOWN","357","ORIGINATOR DISSEMINATION CONTROL","ORIGINATOR DISSEMINATION CONTROL","0","0","0","","","","SPF"
"UNKNOWN","359","RENTAL PRICE (VM) [OBSOLETE]","RENTAL PRICE (VM) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","361","STRUCTURED OWNERSHIP AND CUSTODIAL HISTORY","STRUCTURED OWNERSHIP AND CUSTODIAL HISTORY","1","0","0","","","","SPF"
"UNKNOWN","362","DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION","DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION","1","0","0","","","","SPF"
"UNKNOWN","363","NORMALIZED DATE AND SEQUENTIAL DESIGNATION","NORMALIZED DATE AND SEQUENTIAL DESIGNATION","1","0","0","","","","SPF"
"UNKNOWN","365","TRADE PRICE","TRADE PRICE","1","0","0","","","","SPF"
"UNKNOWN","366","TRADE AVAILABILITY INFORMATION","TRADE AVAILABILITY INFORMATION","1","0","0","","","","SPF"
"UNKNOWN","370","ASSOCIATED PLACE","ASSOCIATED PLACE","1","0","0","","","","SPF"
"UNKNOWN","377","ASSOCIATED LANGUAGE","ASSOCIATED LANGUAGE","1","0","0","","","","SPF"
"UNKNOWN","380","FORM OF WORK","FORM OF WORK","1","0","0","","","","SPF"
"UNKNOWN","381","OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION","OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION","1","0","0","","","","SPF"
"UNKNOWN","382","MEDIUM OF PERFORMANCE","MEDIUM OF PERFORMANCE","1","0","0","","","","SPF"
"UNKNOWN","383","NUMERIC DESIGNATION OF MUSICAL WORK OR EXPRESSION","NUMERIC DESIGNATION OF MUSICAL WORK OR EXPRESSION","1","0","0","","","","SPF"
"UNKNOWN","384","KEY","KEY","1","0","0","","","","SPF"
"UNKNOWN","385","AUDIENCE CHARACTERISTICS","AUDIENCE CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","386","CREATOR/CONTRIBUTOR CHARACTERISTICS","CREATOR/CONTRIBUTOR CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","387","REPRESENTATIVE EXPRESSION CHARACTERISTICS","REPRESENTATIVE EXPRESSION CHARACTERISTICS","1","0","0","","","","SPF"
"UNKNOWN","388","TIME PERIOD OF CREATION","TIME PERIOD OF CREATION","1","0","0","","","","SPF"
"UNKNOWN","400","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","SPF"
"UNKNOWN","410","SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","SPF"
"UNKNOWN","411","SERIES STATEMENT/ADDED ENTRY--MEETING NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--MEETING NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","SPF"
"UNKNOWN","440","SERIES STATEMENT/ADDED ENTRY--TITLE","SERIES STATEMENT/ADDED ENTRY--TITLE","1","0","0","","","","SPF"
"UNKNOWN","490","SERIES STATEMENT","SERIES STATEMENT","1","0","0","","","","SPF"
"UNKNOWN","500","GENERAL NOTE","GENERAL NOTE","1","0","0","","","","SPF"
"UNKNOWN","501","WITH NOTE","WITH NOTE","1","0","0","","","","SPF"
"UNKNOWN","502","DISSERTATION NOTE","DISSERTATION NOTE","1","0","0","","","","SPF"
"UNKNOWN","503","BIBLIOGRAPHIC HISTORY NOTE (BK CF MU) [OBSOLETE]","BIBLIOGRAPHIC HISTORY NOTE (BK CF MU) [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","504","BIBLIOGRAPHY, ETC. NOTE","BIBLIOGRAPHY, ETC. NOTE","1","0","0","","","","SPF"
"UNKNOWN","505","FORMATTED CONTENTS NOTE","FORMATTED CONTENTS NOTE","1","0","0","","","","SPF"
"UNKNOWN","506","RESTRICTIONS ON ACCESS NOTE","RESTRICTIONS ON ACCESS NOTE","1","0","0","","","","SPF"
"UNKNOWN","507","SCALE NOTE FOR VISUAL MATERIALS","SCALE NOTE FOR VISUAL MATERIALS","0","0","0","","","","SPF"
"UNKNOWN","508","CREATION/PRODUCTION CREDITS NOTE","CREATION/PRODUCTION CREDITS NOTE","1","0","0","","","","SPF"
"UNKNOWN","509","INFORMAL NOTES (RLIN)","INFORMAL NOTES (RLIN)","0","0","0","","","","SPF"
"UNKNOWN","510","CITATION/REFERENCES NOTE","CITATION/REFERENCES NOTE","1","0","0","","","","SPF"
"UNKNOWN","511","PARTICIPANT OR PERFORMER NOTE","PARTICIPANT OR PERFORMER NOTE","1","0","0","","","","SPF"
"UNKNOWN","512","EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE (SE) [OBSOLETE]","EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE (SE) [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","513","TYPE OF REPORT AND PERIOD COVERED NOTE","TYPE OF REPORT AND PERIOD COVERED NOTE","1","0","0","","","","SPF"
"UNKNOWN","514","DATA QUALITY NOTE","DATA QUALITY NOTE","0","0","0","","","","SPF"
"UNKNOWN","515","NUMBERING PECULIARITIES NOTE","NUMBERING PECULIARITIES NOTE","1","0","0","","","","SPF"
"UNKNOWN","516","TYPE OF COMPUTER FILE OR DATA NOTE","TYPE OF COMPUTER FILE OR DATA NOTE","1","0","0","","","","SPF"
"UNKNOWN","517","CATEGORIES OF FILMS NOTE (ARCHIVAL) (VM) [OBSOLETE]","CATEGORIES OF FILMS NOTE (ARCHIVAL) (VM) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","518","DATE/TIME AND PLACE OF AN EVENT NOTE","DATE/TIME AND PLACE OF AN EVENT NOTE","1","0","0","","","","SPF"
"UNKNOWN","520","SUMMARY, ETC.","SUMMARY, ETC.","1","0","0","","","","SPF"
"UNKNOWN","521","TARGET AUDIENCE NOTE","TARGET AUDIENCE NOTE","1","0","0","","","","SPF"
"UNKNOWN","522","GEOGRAPHIC COVERAGE NOTE","GEOGRAPHIC COVERAGE NOTE","1","0","0","","","","SPF"
"UNKNOWN","523","TIME PERIOD OF CONTENT NOTE (CF) [OBSOLETE]","TIME PERIOD OF CONTENT NOTE (CF) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","524","PREFERRED CITATION OF DESCRIBED MATERIALS NOTE","PREFERRED CITATION OF DESCRIBED MATERIALS NOTE","1","0","0","","","","SPF"
"UNKNOWN","525","SUPPLEMENT NOTE","SUPPLEMENT NOTE","1","0","0","","","","SPF"
"UNKNOWN","526","STUDY PROGRAM INFORMATION NOTE","STUDY PROGRAM INFORMATION NOTE","1","0","0","","","","SPF"
"UNKNOWN","527","CENSORSHIP NOTE (VM) [OBSOLETE]","CENSORSHIP NOTE (VM) [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","530","ADDITIONAL PHYSICAL FORM AVAILABLE NOTE","ADDITIONAL PHYSICAL FORM AVAILABLE NOTE","1","0","0","","","","SPF"
"UNKNOWN","532","ACCESSIBILITY NOTE","ACCESSIBILITY NOTE","1","0","0","","","","SPF"
"UNKNOWN","533","REPRODUCTION NOTE","REPRODUCTION NOTE","1","0","0","","","","SPF"
"UNKNOWN","534","ORIGINAL VERSION NOTE","ORIGINAL VERSION NOTE","1","0","0","","","","SPF"
"UNKNOWN","535","LOCATION OF ORIGINALS/DUPLICATES NOTE","LOCATION OF ORIGINALS/DUPLICATES NOTE","1","0","0","","","","SPF"
"UNKNOWN","536","FUNDING INFORMATION NOTE","FUNDING INFORMATION NOTE","1","0","0","","","","SPF"
"UNKNOWN","537","SOURCE OF DATA NOTE (CF) [OBSOLETE]","SOURCE OF DATA NOTE (CF) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","538","SYSTEM DETAILS NOTE","SYSTEM DETAILS NOTE","1","0","0","","","","SPF"
